,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
648,Four Corners Property Trust Inc.,,5,1,20%,,,MILL VALLEY,fourrners property trust
649,FOX FACTORY HOLDING CORP,,6,0,0%,,,SCOTTS VALLEY,fox factory holding
650,Francesca's Holdings CORP,,9,3,33%,Consumer Cyclical,Texas,HOUSTON,francescas holdings
651,Frank's International N.V.,,9,0,0%,,,AMSTERDAM,franks international nv
652,FRANKLIN COVEY CO,,8,2,25%,,,SALT LAKE CITY,franklinvey
653,FRANKLIN ELECTRIC CO INC,,7,2,29%,,,FORT WAYNE,franklin electric
654,Franklin Financial Network Inc.,,8,2,25%,,,FRANKLIN,franklin financial network
655,FRANKLIN RESOURCES INC,,10,2,20%,Financial Services,California,SAN MATEO,franklin resources
656,FRANKLIN STREET PROPERTIES CORP /MA/,,7,2,29%,Real Estate,Massachusetts,WAKEFIELD,franklin street properties ma
657,Freddie Mac,,12,2,17%,Financial Services,Virginia,McLean,freddie mac
658,FREDS INC,,9,2,22%,Consumer Defensive,Tennessee,MEMPHIS,freds
659,FREEPORT-MCMORAN INC,,8,2,25%,Basic Materials,Arizona,PHOENIX,freeportmcmoran
660,FreightCar America Inc.,,7,0,0%,,,CHICAGO,freightcar america
661,FRESH DEL MONTE PRODUCE INC,,9,1,11%,Consumer Defensive,Florida,CORAL GABLES,fresh del monte produce
662,Freshpet Inc.,,10,0,0%,,,SECAUCUS,freshpet
663,FRONTIER COMMUNICATIONS CORP,,10,3,30%,Communication Services,Connecticut,NORWALK,frontiermmunications
664,FRONTLINE LTD,,5,2,40%,,,HAMILTON,frontline
665,FRP HOLDINGS INC.,,6,0,0%,,,JACKSONVILLE,frp holdings
666,FTD Companies Inc.,,10,4,40%,,,DOWNERS GROVE,ftdmpanies
667,FTI CONSULTING INC,,8,2,25%,Industrials,Washington,WASHINGTON,ftinsulting
668,FULLER H B CO,,8,1,13%,Basic Materials,Minnesota,SAINT PAUL,fuller h b
669,FULTON FINANCIAL CORP,,12,2,17%,Financial Services,Pennsylvania,LANCASTER,fulton financial
670,FutureFuel Corp.,,8,0,0%,,,CLAYTON,futurefuel
671,G III APPAREL GROUP LTD /DE/,,11,3,27%,Consumer Cyclical,New York,NEW YORK,g iii apparel group
672,G&K Services Inc.,,8,2,25%,Industrials,Minnesota,Minnetonka,gk services
673,GAIA INC,,7,2,29%,,,LOUISVILLE,gaia
674,GAIN Capital Holdings Inc.,,6,0,0%,,,BEDMINSTER,gain capital holdings
675,GALLAGHER ARTHUR J & CO,,10,2,20%,Financial Services,Illinois,ITASCA,gallagher arthur j 
676,GAMCO INVESTORS INC. ET AL,,7,1,14%,,,RYE,gamco investors et al
677,GameStop Corp.,,10,2,20%,Consumer Cyclical,Texas,GRAPEVINE,gamestop
678,Gaming & Leisure Properties Inc.,,6,0,0%,,,WYOMISSING,gaming  leisure properties
679,Gannett Co. Inc.,,10,3,30%,Consumer Cyclical,Virginia,MCLEAN,gannett
680,GAP INC,,10,3,30%,Consumer Cyclical,California,SAN FRANCISCO,gap
681,Gardner Denver Inc.,,9,1,11%,Technology,Wisconsin,Milwaukee,gardner denver
682,GARDNER DENVER HOLDINGS INC.,,9,0,0%,,,MILWAUKEE,gardner denver holdings
683,GARMIN LTD,,6,1,17%,Technology,Kansas,SCHAFFHAUSEN,garmin
684,GARTNER INC,,10,2,20%,Technology,Connecticut,STAMFORD,gartner
685,GASLOG LTD.,,10,0,0%,,,MONACO,gaslog
686,GATX CORP,,10,2,20%,Industrials,Illinois,CHICAGO,gatx
687,GCP Applied Technologies Inc.,,8,3,38%,,,CAMBRIDGE,gcp applied technologies
688,GENCO SHIPPING & TRADING LTD,,9,1,11%,,,NEW YORK,genco shipping  trading
689,GENCOR INDUSTRIES INC,,6,0,0%,,,ORLANDO,gencor industries
690,Gener8 Maritime Inc.,,7,0,0%,,,NEW YORK,gener8 maritime
691,GENERAC HOLDINGS INC.,,10,1,10%,,,WAUKESHA,generac holdings
692,GENERAL CABLE CORP /DE/,,7,1,14%,Industrials,Kentucky,HIGHLAND HEIGHTS,general cable
693,GENERAL COMMUNICATION INC,,10,1,10%,,,ANCHORAGE,generalmmunication
694,GENERAL DYNAMICS CORP,,11,3,27%,Industrials,Virginia,FALLS CHURCH,general dynamics
695,GENERAL ELECTRIC CO,,18,5,28%,Industrials,Connecticut,BOSTON,general electric
696,GENERAL MILLS INC,,13,4,31%,Consumer Defensive,Minnesota,MINNEAPOLIS,general mills
697,General Motors Co,,11,5,45%,Consumer Cyclical,Michigan,DETROIT,general motors
698,GENESCO INC,,10,2,20%,Consumer Cyclical,Tennessee,NASHVILLE,genesco
699,GENESEE & WYOMING INC,,10,1,10%,Industrials,Connecticut,DARIEN,genesee  wyoming
700,Genesis Energy LP,,8,1,13%,Energy,Texas,Houston,genesis energy lp
701,Genesis Healthcare Inc.,,9,1,11%,Healthcare,Pennsylvania,KENNETT SQUARE,genesis healthcare
702,Genie Energy Ltd.,,5,0,0%,,,NEWARK,genie energy
703,GenMark Diagnostics Inc.,,6,1,17%,Healthcare,California,CARLSBAD,genmark diagnostics
704,GENOCEA BIOSCIENCES INC.,,7,1,14%,,,CAMBRIDGE,genocea biosciences
705,GENOMIC HEALTH INC,,7,2,29%,Healthcare,California,REDWOOD CITY,genomic health
706,Genpact LTD,,11,3,27%,Industrials,,HAMILTON,genpact
707,GENTEX CORP,,9,1,11%,Consumer Cyclical,Michigan,ZEELAND,gentex
708,GENTHERM Inc,,8,2,25%,,,NORTHVILLE,gentherm
709,GENUINE PARTS CO,,11,3,27%,Consumer Cyclical,Georgia,ATLANTA,genuine parts
710,GenVec Inc.,,7,0,0%,Healthcare,Maryland,Gaithersburg,genvec
711,GENWORTH FINANCIAL INC,,10,2,20%,Financial Services,Virginia,RICHMOND,genworth financial
712,GEO GROUP INC,,6,2,33%,Real Estate,Florida,BOCA RATON,geo group
713,GEOSPACE TECHNOLOGIES CORP,,9,1,11%,,,HOUSTON,geospace technologies
714,GERMAN AMERICAN BANCORP INC.,,12,1,8%,Financial Services,Indiana,JASPER,german american bancorp
715,GERON CORP,,7,2,29%,,,MENLO PARK,geron
716,GETTY REALTY CORP /MD/,,6,0,0%,,,JERICHO,getty realty md
717,GGP Inc.,,9,3,33%,Real Estate,Illinois,CHICAGO,ggp
718,GIBRALTAR INDUSTRIES INC.,,7,2,29%,,,BUFFALO,gibraltar industries
719,Gigamon Inc.,,10,1,10%,,,SANTA CLARA,gigamon
720,GILEAD SCIENCES INC,,9,2,22%,Healthcare,California,FOSTER CITY,gilead sciences
721,GLACIER BANCORP INC,,10,2,20%,,,KALISPELL,glacier bancorp
722,Gladstone Capital Corporation,,8,2,25%,Financial Services,Virginia,McLean,gladstone capital
723,GLADSTONE COMMERCIAL CORP,,8,2,25%,,,MCLEAN,gladstonemmercial
724,GLATFELTER P H CO,,9,1,11%,,,YORK,glatfelter p h
725,GLAUKOS Corp,,8,1,13%,,,SAN CLEMENTE,glaukos
726,GlaxoSmithKline,,15,4,27%,Healthcare,,Middlesex,glaxosmithkline
727,Glen Burnie Bancorp,,11,2,18%,Financial Services,Maryland,Glen Burnie,glen burnie bancorp
728,Global Blood Therapeutics Inc.,,8,0,0%,,,SOUTH SAN FRANCISCO,global blood therapeutics
729,GLOBAL BRASS & COPPER HOLDINGS INC.,,7,1,14%,,,SCHAUMBURG,global brass pper holdings
730,Global Indemnity Ltd,,7,1,14%,,,GEORGE TOWN,global indemnity
731,Global Medical REIT Inc.,,9,1,11%,,,BETHESDA,global medical reit
732,Global Net Lease Inc.,,6,2,33%,,,NEW YORK,global net lease
733,Global Partners LP,,7,1,14%,Energy,Massachusetts,Waltham,global partners lp
734,GLOBAL PAYMENTS INC,,9,1,11%,Industrials,Georgia,ATLANTA,global payments
735,GLOBAL SOURCES LTD /BERMUDA,,6,2,33%,,,HAMILTON,global sources bermuda
736,Global Water Resources Inc.,,7,2,29%,,,PHOENIX,global water resources
737,Globalstar Inc.,,7,0,0%,,,COVINGTON,globalstar
738,GLOBUS MEDICAL INC,,8,1,13%,,,AUDUBON,globus medical
739,GLU MOBILE INC,,8,1,13%,,,SAN FRANCISCO,glu mobile
740,GMS INC.,,10,0,0%,,,TUCKER,gms
741,GNC HOLDINGS INC.,,7,1,14%,Consumer Defensive,Pennsylvania,PITTSBURGH,gnc holdings
742,GoDaddy Inc.,,10,1,10%,,,SCOTTSDALE,godaddy
743,Gogo Inc.,,10,1,10%,,,CHICAGO,gogo
744,GOLAR LNG LTD,,7,1,14%,,,HAMILTON,golar lng
745,GOLD RESOURCE CORP,,4,0,0%,,,COLORADO SPRINGS,gold resource
746,GOLDEN ENTERTAINMENT INC.,,7,0,0%,,,LAS VEGAS,golden entertainment
747,GOLDMAN SACHS GROUP INC,,11,2,18%,Financial Services,New York,NEW YORK,goldman sachs group
748,GOODYEAR TIRE & RUBBER CO /OH/,,13,2,15%,Consumer Cyclical,Ohio,AKRON,goodyear tire  rubber oh
749,GoPro Inc.,,7,2,29%,Technology,California,SAN MATEO,gopro
750,GORMAN RUPP CO,,8,1,13%,,,MANSFIELD,gorman rupp
751,Government Properties Income Trust,,6,2,33%,Real Estate,Massachusetts,NEWTON,government propertiesome trust
752,GP STRATEGIES CORP,,7,0,0%,Consumer Defensive,Maryland,COLUMBIA,gp strategies
753,GRACO INC,,9,2,22%,Industrials,Minnesota,MINNEAPOLIS,graco
754,GRAHAM CORP,,7,1,14%,,,BATAVIA,graham
755,Graham Holdings Co,,9,2,22%,Consumer Defensive,Virginia,ARLINGTON,graham holdings
756,GRAINGER W W INC,,10,1,10%,Industrials,Illinois,LAKE FOREST,grainger w w
757,Gramercy Property Trust,,9,1,11%,,,NEW YORK,gramercy property trust
758,Grand Canyon Education Inc.,,5,1,20%,,,PHOENIX,grand canyon education
759,GRANITE CONSTRUCTION INC,,10,2,20%,Industrials,California,WATSONVILLE,granitenstruction
760,GRAPHIC PACKAGING HOLDING CO,,9,1,11%,Consumer Cyclical,Georgia,ATLANTA,graphic packaging holding
761,GRAY TELEVISION INC,,9,2,22%,,,ATLANTA,gray television
762,Graybar Electric Company Inc.,,9,2,22%,Energy,Missouri,St. Louis,graybar electricmpany
763,Great Ajax Corp.,,7,0,0%,,,BEAVERTON,great ajax
764,Great Lakes Dredge & Dock CORP,,8,0,0%,,,OAK BROOK,great lakes dredge  dock
765,GREAT PLAINS ENERGY INC,,9,2,22%,Utilities,Missouri,KANSAS CITY,great plains energy
766,GREAT SOUTHERN BANCORP INC,,9,2,22%,,,SPRINGFIELD,great southern bancorp
767,Great Western Bancorp Inc.,,8,1,13%,,,SIOUX FALLS,great western bancorp
768,Green Bancorp Inc.,,9,1,11%,,,HOUSTON,green bancorp
769,Green Brick Partners Inc.,,7,2,29%,,,PLANO,green brick partners
770,GREEN DOT CORP,,9,1,11%,Financial Services,California,PASADENA,green dot
771,Green Plains Inc.,,10,0,0%,Basic Materials,Nebraska,OMAHA,green plains
772,GREENBRIER COMPANIES INC,,8,2,25%,Industrials,Oregon,LAKE OSWEGO,greenbriermpanies
773,GREENE COUNTY BANCORP INC,,8,1,13%,,,CATSKILL,greeneunty bancorp
774,GREENHILL & CO INC,,6,1,17%,Financial Services,New York,NEW YORK,greenhill 
775,GREENLIGHT CAPITAL RE LTD.,,7,0,0%,,,GRAND CAYMAN,greenlight capital re
776,GREIF INC,,10,2,20%,Consumer Cyclical,Ohio,DELAWARE,greif
777,GRIFFIN INDUSTRIAL REALTY INC.,,7,0,0%,,,NEW YORK CITY,griffin industrial realty
778,GRIFFON CORP,,12,0,0%,Basic Materials,New York,NEW YORK,griffon
779,GROUP 1 AUTOMOTIVE INC,,9,2,22%,Consumer Cyclical,Texas,HOUSTON,group 1 automotive
780,Groupon Inc.,,10,1,10%,Technology,Illinois,CHICAGO,groupon
781,GrubHub Inc.,,9,2,22%,,,CHICAGO,grubhub
782,GSE Systems Inc.,,7,1,14%,Technology,Maryland,Sykesville,gse systems
783,GSI TECHNOLOGY INC,,7,0,0%,,,SUNNYVALE,gsi technology
784,GTT Communications Inc.,,8,1,13%,,,MCLEAN,gttmmunications
785,Guaranty Bancorp,,9,2,22%,,,DENVER,guaranty bancorp
786,GUARANTY BANCSHARES INC /TX/,,12,0,0%,,,MOUNT PLEASANT,guaranty bancshares tx
787,GUESS INC,,8,1,13%,Consumer Cyclical,California,LOS ANGELES,guess
788,Guidance Software Inc.,,7,0,0%,,,PASADENA,guidance software
789,Guidewire Software Inc.,,7,0,0%,,,FOSTER CITY,guidewire software
790,GULF ISLAND FABRICATION INC,,9,0,0%,,,HOUSTON,gulf island fabrication
791,GULFPORT ENERGY CORP,,6,0,0%,,,OKLAHOMA CITY,gulfport energy
792,H&E Equipment Services Inc.,,8,0,0%,Industrials,Louisiana,BATON ROUGE,he equipment services
793,H&R BLOCK INC,,11,3,27%,Consumer Cyclical,Missouri,KANSAS CITY,hr block
794,Habit Restaurants Inc.,,7,0,0%,,,IRVINE,habit restaurants
795,HACKETT GROUP INC.,,6,0,0%,Industrials,Florida,MIAMI,hackett group
796,HAEMONETICS CORP,,8,2,25%,Healthcare,Massachusetts,BRAINTREE,haemonetics
797,HALCON RESOURCES CORP,,9,0,0%,,,HOUSTON,halcon resources
798,HALF ROBERT INTERNATIONAL INC /DE/,,6,1,17%,Industrials,California,MENLO PARK,half robert international
799,HALLIBURTON CO,,13,2,15%,Energy,Texas,HOUSTON,halliburton
800,HALLMARK FINANCIAL SERVICES INC,,4,0,0%,,,FORT WORTH,hallmark financial services
801,HALOZYME THERAPEUTICS INC,,8,2,25%,Healthcare,California,SAN DIEGO,halozyme therapeutics
802,Halyard Health Inc.,,9,3,33%,,,ALPHARETTA,halyard health
803,Hampton Roads Bankshares Inc.,,10,0,0%,Financial Services,Virginia,Virginia Beach,hampton roads bankshares
804,HANCOCK HOLDING CO,,15,3,20%,,,GULFPORT,hancock holding
805,HANDY & HARMAN LTD.,,7,0,0%,,,NEW YORK,handy  harman
806,Hanesbrands Inc.,,10,2,20%,Consumer Cyclical,North Carolina,WINSTON-SALEM,hanesbrands
807,HANMI FINANCIAL CORP,,8,1,13%,,,LOS ANGELES,hanmi financial
808,Hannon Armstrong Sustainable Infrastructure Capital Inc.,,7,2,29%,,,ANNAPOLIS,hannon armstrong sustainable infrastructure capital
809,HANOVER INSURANCE GROUP INC.,,10,3,30%,Financial Services,Massachusetts,WORCESTER,hanover insurance group
810,HARDINGE INC,,8,0,0%,,,ELMIRA,hardinge
811,HARLEY DAVIDSON INC,,10,2,20%,Consumer Cyclical,Wisconsin,MILWAUKEE,harley davidson
812,Harleysville Savings Financial Corporation,,8,1,13%,Financial Services,Pennsylvania,Harleysville,harleysville savings financial
813,Harman International Industries Inc.,,11,3,27%,Technology,Connecticut,Stamford,harman international industries
814,HARMONIC INC,,7,2,29%,Technology,California,SAN JOSE,harmonic
815,HARRIS CORP /DE/,,12,1,8%,Technology,Florida,MELBOURNE,harris
816,HARSCO CORP,,8,2,25%,Basic Materials,Pennsylvania,CAMP HILL,harsco
817,HARTFORD FINANCIAL SERVICES GROUP INC/DE,,11,4,36%,Financial Services,Connecticut,HARTFORD,hartford financial services groupde
818,HASBRO INC,,12,5,42%,Consumer Cyclical,Rhode Island,PAWTUCKET,hasbro
819,HAVERTY FURNITURE COMPANIES INC,,9,3,33%,Consumer Cyclical,Georgia,ATLANTA,haverty furniturempanies
820,Hawaiian Electric Industries Inc.,,9,2,22%,Utilities,Hawaii,HONOLULU,hawaiian electric industries
821,HAWAIIAN HOLDINGS INC,,10,1,10%,Industrials,Hawaii,HONOLULU,hawaiian holdings
822,Hawaiian Telcom Holdco Inc.,,9,1,11%,,,HONOLULU,hawaiian telcom holdco
823,HAWKINS INC,,9,1,11%,,,ROSEVILLE,hawkins
824,HAYNES INTERNATIONAL INC,,6,0,0%,,,KOKOMO,haynes international
825,HC2 Holdings Inc.,,5,0,0%,Communication Services,Virginia,NEW YORK,hc2 holdings
826,HCA Healthcare Inc.,,11,2,18%,Healthcare,Tennessee,NASHVILLE,hca healthcare
827,HCI Group Inc.,,9,0,0%,Financial Services,Florida,TAMPA,hci group
828,HCP INC.,,8,1,13%,Real Estate,California,IRVINE,hcp
829,HD Supply Holdings Inc.,,9,3,33%,Industrials,Georgia,ATLANTA,hd supply holdings
830,HEALTHCARE REALTY TRUST INC,,9,2,22%,,,NASHVILLE,healthcare realty trust
831,HEALTHCARE SERVICES GROUP INC,,9,1,11%,,,BENSALEM,healthcare services group
832,HEALTHCARE TRUST OF AMERICA INC.,,8,0,0%,,,SCOTTSDALE,healthcare trust of america
833,HEALTHEQUITY INC,,8,1,13%,,,DRAPER,healthequity
834,HEALTHSOUTH CORP,,10,3,30%,Healthcare,Alabama,BIRMINGHAM,healthsouth
835,HEALTHSTREAM INC,,10,2,20%,,,NASHVILLE,healthstream
836,Healthways Inc.,,10,1,10%,Healthcare,Tennessee,Franklin,healthways
837,HEARTLAND EXPRESS INC,,6,2,33%,,,NORTH LIBERTY,heartland express
838,HEARTLAND FINANCIAL USA INC,,9,0,0%,,,DUBUQUE,heartland financial usa
839,HECLA MINING CO/DE/,,8,1,13%,,,COEUR D'ALENE,hecla miningde
840,HEICO CORP,,10,1,10%,Industrials,Florida,HOLLYWOOD,heico
841,HEIDRICK & STRUGGLES INTERNATIONAL INC,,7,2,29%,Industrials,Illinois,CHICAGO,heidrick  struggles international
842,HELEN OF TROY LTD,,8,2,25%,,,EL PASO,helen of troy
843,HELIX ENERGY SOLUTIONS GROUP INC,,7,1,14%,,,HOUSTON,helix energy solutions group
844,HELMERICH & PAYNE INC,,8,1,13%,Energy,Oklahoma,TULSA,helmerich  payne
845,HEMISPHERE MEDIA GROUP INC.,,11,1,9%,,,CORAL GABLES,hemisphere media group
846,HENRY JACK & ASSOCIATES INC,,8,3,38%,Industrials,Missouri,MONETT,henry jack  associates
847,HENRY SCHEIN INC,,15,2,13%,Healthcare,New York,MELVILLE,henry schein
848,HERBALIFE LTD.,,13,1,8%,Consumer Defensive,California,GRAND CAYMAN,herbalife
849,HERC HOLDINGS INC,,9,1,11%,,,BONITA SPRINGS,herc holdings
850,Hercules Technology Growth Capital Inc.,,6,1,17%,Financial Services,California,Palo Alto,hercules technology growth capital
851,HERITAGE COMMERCE CORP,,9,2,22%,,,SAN JOSE,heritagemmerce
852,HERITAGE FINANCIAL CORP /WA/,,9,3,33%,,,OLYMPIA,heritage financial wa
853,Heritage Insurance Holdings Inc.,,9,1,11%,,,CLEARWATER,heritage insurance holdings
854,Heritage-Crystal Clean Inc.,,6,0,0%,,,ELGIN,heritagecrystal clean
855,HERON THERAPEUTICS INC. /DE/,,6,0,0%,,,SAN DIEGO,heron therapeutics
856,HERSHA HOSPITALITY TRUST,,8,1,13%,,,PHILADELPHIA,hersha hospitality trust
857,HERSHEY CO,,12,4,33%,Consumer Defensive,Pennsylvania,HERSHEY,hershey
858,HERTZ GLOBAL HOLDINGS INC,,7,2,29%,Industrials,Florida,ESTERO,hertz global holdings
859,HESKA CORP,,6,3,50%,,,LOVELAND,heska
860,HESS CORP,,12,2,17%,Energy,New York,NEW YORK,hess
861,Hewlett Packard Enterprise Co,,14,5,36%,Technology,California,PALO ALTO,hewlett packard enterprise
862,HEXCEL CORP /DE/,,10,2,20%,,,STAMFORD,hexcel
863,HFF Inc.,,8,3,38%,,,DALLAS,hff
864,hhgregg Inc.,,10,2,20%,Consumer Cyclical,Indiana,Indianapolis,hhgregg
865,HIBBETT SPORTS INC,,8,2,25%,,,BIRMINGHAM,hibbett sports
866,HIGHWOODS PROPERTIES INC,,7,1,14%,,,RALEIGH,highwoods properties
867,Hill International Inc.,,9,1,11%,,,PHILADELPHIA,hill international
868,Hill-Rom Holdings Inc.,,10,3,30%,Healthcare,Illinois,CHICAGO,hillrom holdings
869,Hillenbrand Inc.,,11,2,18%,,,BATESVILLE,hillenbrand
870,Hilltop Holdings Inc.,,21,1,5%,,,DALLAS,hilltop holdings
871,HILTON GRAND VACATIONS INC.,,8,2,25%,,Florida,ORLANDO,hilton grand vacations
872,Hilton Worldwide Holdings Inc.,,9,3,33%,Consumer Cyclical,Virginia,MCLEAN,hilton worldwide holdings
873,Hingham Institution for Savings,,16,3,19%,Financial Services,Massachusetts,HINGHAM,hingham institution for savings
874,HMN Financial Inc.,,11,2,18%,Financial Services,Minnesota,Rochester,hmn financial
875,HMS HOLDINGS CORP,,9,2,22%,,,IRVING,hms holdings
876,HNI CORP,,10,4,40%,Industrials,Iowa,MUSCATINE,hni
877,HollyFrontier Corp,,9,0,0%,Energy,Texas,DALLAS,hollyfrontier
878,Hollywood Media Corporation,,5,1,20%,Consumer Cyclical,Florida,Boca Raton,hollywood media
879,HOLOGIC INC,,8,4,50%,Healthcare,Massachusetts,MARLBOROUGH,hologic
880,HOME BANCORP INC.,,9,1,11%,,,LAFAYETTE,home bancorp
881,HOME BANCSHARES INC,,13,0,0%,,,CONWAY,home bancshares
882,HOME DEPOT INC,,13,3,23%,Consumer Cyclical,Georgia,ATLANTA,home depot
883,HomeFed Corporation,,6,0,0%,Real Estate,California,Carlsbad,homefed
884,HomeStreet Inc.,,9,0,0%,,,SEATTLE,homestreet
885,HomeTrust Bancshares Inc.,,11,2,18%,,,ASHEVILLE,hometrust bancshares
886,HONEYWELL INTERNATIONAL INC,,13,3,23%,Industrials,New Jersey,MORRIS PLAINS,honeywell international
887,HOOKER FURNITURE CORP,,7,1,14%,Consumer Cyclical,Virginia,MARTINSVILLE,hooker furniture
888,HOPE BANCORP INC,,13,1,8%,,,LOS ANGELES,hope bancorp
889,HORACE MANN EDUCATORS CORP /DE/,,9,2,22%,,,SPRINGFIELD,horace mann educators
890,HORIZON BANCORP /IN/,,12,2,17%,,,MICHIGAN CITY,horizon bancorp in
891,Horizon Global Corp,,7,1,14%,,,TROY,horizon global
892,Horizon Pharma plc,,7,0,0%,Healthcare,,DUBLIN,horizon pharma plc
893,HORMEL FOODS CORP /DE/,,14,3,21%,Consumer Defensive,Minnesota,AUSTIN,hormel foods
894,HORTON D R INC /DE/,,5,1,20%,Consumer Cyclical,Texas,FORT WORTH,horton d r
895,Hortonworks Inc.,,7,0,0%,,,SANTA CLARA,hortonworks
896,HOSPITALITY PROPERTIES TRUST,,5,1,20%,Real Estate,Massachusetts,NEWTON,hospitality properties trust
897,HOST HOTELS & RESORTS INC.,,9,3,33%,Real Estate,Maryland,BETHESDA,host hotels  resorts
898,Houghton Mifflin Harcourt Co,,9,2,22%,,,BOSTON,houghton mifflin harcourt
899,HOULIHAN LOKEY INC.,,11,1,9%,,,LOS ANGELES,houlihan lokey
900,HOVNANIAN ENTERPRISES INC,,7,0,0%,Consumer Cyclical,New Jersey,RED BANK,hovnanian enterprises
901,Howard Hughes Corp,,9,1,11%,Real Estate,Texas,DALLAS,howard hughes
902,HP INC,,12,5,42%,Technology,California,PALO ALTO,hp
903,HRG GROUP INC.,,8,0,0%,Industrials,New York,NEW YORK,hrg group
904,HSN Inc.,,10,5,50%,Consumer Cyclical,Florida,ST. PETERSBURG,hsn
905,HUB GROUP INC,,8,0,0%,Industrials,Illinois,OAK BROOK,hub group
906,HUBBELL INC,,9,1,11%,Industrials,Connecticut,SHELTON,hubbell
907,HUBSPOT INC,,9,2,22%,,,CAMBRIDGE,hubspot
908,Hudson Pacific Properties Inc.,,10,0,0%,Real Estate,California,LOS ANGELES,hudson pacific properties
909,HUMANA INC,,10,1,10%,Healthcare,Kentucky,LOUISVILLE,humana
910,HUNT J B TRANSPORT SERVICES INC,,10,2,20%,Industrials,Arizona,LOWELL,hunt j b transport services
911,HUNTINGTON BANCSHARES INC/MD,,15,4,27%,Financial Services,Ohio,COLUMBUS,huntington bancsharesmd
912,HUNTINGTON INGALLS INDUSTRIES INC.,,10,2,20%,Industrials,Virginia,NEWPORT NEWS,huntington ingalls industries
913,Huntsman CORP,,8,1,13%,Basic Materials,Utah,THE WOODLANDS,huntsman
914,HURCO COMPANIES INC,,9,1,11%,,,INDIANAPOLIS,hurcompanies
915,Huron Consulting Group Inc.,,7,1,14%,,,CHICAGO,huronnsulting group
916,HUTTIG BUILDING PRODUCTS INC,,7,1,14%,,,ST. LOUIS,huttig building products
917,Hyatt Hotels Corp,,12,2,17%,Consumer Cyclical,Illinois,CHICAGO,hyatt hotels
918,HYSTER-YALE MATERIALS HANDLING INC.,,10,1,10%,Industrials,Ohio,CLEVELAND,hysteryale materials handling
919,IAC/INTERACTIVECORP,,12,2,17%,Technology,New York,NEW YORK CITY,iacinteractivecorp
920,Iasis Healthcare LLC,,10,0,0%,Healthcare,Tennessee,Franklin,iasis healthcare llc
921,IBERIABANK CORP,,11,1,9%,,,LAFAYETTE,iberiabank
922,Icahn Enterprises LP,,6,0,0%,Industrials,New York,New York,icahn enterprises lp
923,ICF International Inc.,,7,2,29%,Industrials,Virginia,FAIRFAX,icf international
924,ICONIX BRAND GROUP INC.,,9,2,22%,,,NEW YORK,iconix brand group
925,ICU MEDICAL INC/DE,,8,1,13%,Healthcare,California,SAN CLEMENTE,icu medicalde
926,IDACORP INC,,11,3,27%,,,BOISE,idacorp
927,IDERA PHARMACEUTICALS INC.,,8,1,13%,,,CAMBRIDGE,idera pharmaceuticals
928,IDEX CORP /DE/,,8,2,25%,Industrials,Illinois,LAKE FOREST,idex
929,IDEXX LABORATORIES INC /DE,,8,3,38%,Healthcare,Maine,WESTBROOK,idexx laboratories de
930,IDI Inc.,,8,1,13%,Technology,Florida,Boca Raton,idi
931,IDT CORP,,5,0,0%,Communication Services,New Jersey,NEWARK,idt
932,IES Holdings Inc.,,6,0,0%,,,HOUSTON,ies holdings
933,Ignyta Inc.,,6,0,0%,,,SAN DIEGO,ignyta
934,iHeartMedia Inc.,,12,1,8%,Consumer Cyclical,Texas,San Antonio,iheartmedia
935,IHS Markit Ltd.,,11,2,18%,Industrials,,LONDON,ihs markit
936,II-VI INC,,9,1,11%,,,SAXONBURG,iivi
937,ILG Inc.,,13,2,15%,,,MIAMI,ilg
938,ILLINOIS TOOL WORKS INC,,11,2,18%,Industrials,Illinois,GLENVIEW,illinois tool works
939,ILLUMINA INC,,8,3,38%,Healthcare,California,SAN DIEGO,illumina
940,Imation Corporation,,7,1,14%,Technology,Minnesota,Oakdale,imation
941,IMAX CORP,,11,1,9%,Consumer Cyclical,Ontario,MISSISSAUGA,imax
942,IMMERSION CORP,,7,1,14%,Technology,California,SAN JOSE,immersion
943,Immune Design Corp.,,8,1,13%,,,SEATTLE,immune design
944,IMMUNOGEN INC,,9,1,11%,,,WALTHAM,immunogen
945,IMMUNOMEDICS INC,,5,2,40%,,,MORRIS PLAINS,immunomedics
946,IMPAC MORTGAGE HOLDINGS INC,,7,0,0%,Financial Services,California,IRVINE,impac mortgage holdings
947,IMPAX LABORATORIES INC,,9,2,22%,Healthcare,California,HAYWARD,impax laboratories
948,IMPERVA INC,,8,1,13%,Technology,California,REDWOOD SHORES,imperva
949,IMS Health Holdings Inc.,,8,1,13%,Technology,Connecticut,Danbury,ims health holdings
950,INC Research Holdings Inc.,,10,1,10%,,,RALEIGH,inc research holdings
951,INCYTE CORP,,7,1,14%,,,WILMINGTON,incyte
952,Independence Contract Drilling Inc.,,6,0,0%,,,HOUSTON,independencentract drilling
953,INDEPENDENCE HOLDING CO,,9,1,11%,,,STAMFORD,independence holding
954,INDEPENDENCE REALTY TRUST INC,,6,0,0%,,,PHILADELPHIA,independence realty trust
955,INDEPENDENT BANK CORP,,15,3,20%,Financial Services,Massachusetts,ROCKLAND,independent bank
956,INDEPENDENT BANK CORP /MI/,,10,2,20%,,,GRAND RAPIDS,independent bank mi
957,Independent Bank Group Inc.,,12,0,0%,,,MCKINNEY,independent bank group
